US_L3CODE,US_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME
56,Southern Michigan/Northern Indiana Drift Plains,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS
77,North Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
54,Central Corn Belt Plains,8.2,CENTRAL USA PLAINS,8,EASTERN TEMPERATE FORESTS
42,Northwestern Glaciated Plains,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
48,Lake Agassiz Plain,9.2,TEMPERATE PRAIRIES,9,GREAT PLAINS
43,Northwestern Great Plains,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS
61,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS
62,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS
63,Middle Atlantic Coastal Plain,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS
64,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,8,EASTERN TEMPERATE FORESTS
49,Northern Minnesota Wetlands,5.2,MIXED WOOD SHIELD,5,NORTHERN FORESTS
66,Blue Ridge,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS
67,Ridge and Valley,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS
68,Southwestern Appalachians,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS
69,Central Appalachians,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS
80,Northern Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS
52,Driftless Area,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS
53,Southeastern Wisconsin Till Plains,8.2,CENTRAL USA PLAINS,8,EASTERN TEMPERATE FORESTS
84,Atlantic Coastal Pine Barrens,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS
85,Southern California/Northern Baja Coast,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA
24,Chihuahuan Deserts,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS
25,High Plains,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
26,Southwestern Tablelands,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
27,Central Great Plains,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
20,Colorado Plateaus,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS
21,Southern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
22,Arizona/New Mexico Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS
23,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,13,TEMPERATE SIERRAS
46,Northern Glaciated Plains,9.2,TEMPERATE PRAIRIES,9,GREAT PLAINS
47,Western Corn Belt Plains,9.2,TEMPERATE PRAIRIES,9,GREAT PLAINS
44,Nebraska Sand Hills,9.3,WEST-CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
45,Piedmont,8.3,SOUTHEASTERN USA PLAINS,8,EASTERN TEMPERATE FORESTS
28,Flint Hills,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
29,Cross Timbers,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
40,Central Irregular Plains,9.2,TEMPERATE PRAIRIES,9,GREAT PLAINS
41,Canadian Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
1,Coast Range,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST
82,Acadian Plains and Hills,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS
3,Willamette Valley,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST
2,Puget Lowland,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST
5,Sierra Nevada,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
4,Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
7,Central California Valley,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA
6,Central California Foothills and Coastal Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA
9,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
8,Southern California Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA
78,Klamath Mountains/California High North Coast Range,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
51,North Central Hardwood Forests,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS
83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS
39,Ozark Highlands,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS
65,Southeastern Plains,8.3,SOUTHEASTERN USA PLAINS,8,EASTERN TEMPERATE FORESTS
76,Southern Florida Coastal Plain,15.4,EVERGLADES,15,TROPICAL WET FORESTS
75,Southern Coastal Plain,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS
38,Boston Mountains,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS
73,Mississippi Alluvial Plain,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS
72,Interior River Valleys and Hills,8.3,SOUTHEASTERN USA PLAINS,8,EASTERN TEMPERATE FORESTS
71,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,8,EASTERN TEMPERATE FORESTS
70,Western Allegheny Plateau,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS
59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS
79,Madrean Archipelago,12.1,WESTERN SIERRA MADRE PIEDMONT,12,SOUTHERN SEMI-ARID HIGHLANDS
58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS
11,Blue Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
10,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS
13,Central Basin and Range,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS
12,Snake River Plain,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS
15,Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
14,Mojave Basin and Range,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS
17,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
16,Idaho Batholith,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
19,Wasatch and Uinta Mountains,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS
18,Wyoming Basin,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS
31,Southern Texas Plains,9.6,TAMAULIPAS-TEXAS SEMIARID PLAIN,9,GREAT PLAINS
30,Edwards Plateau,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
37,Arkansas Valley,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS
36,Ouachita Mountains,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS
35,South Central Plains,8.3,SOUTHEASTERN USA PLAINS,8,EASTERN TEMPERATE FORESTS
34,Western Gulf Coastal Plain,9.5,TEXAS-LOUISIANA COASTAL PLAIN,9,GREAT PLAINS
33,East Central Texas Plains,8.3,SOUTHEASTERN USA PLAINS,8,EASTERN TEMPERATE FORESTS
55,Eastern Corn Belt Plains,8.2,CENTRAL USA PLAINS,8,EASTERN TEMPERATE FORESTS
74,Mississippi Valley Loess Plains,8.3,SOUTHEASTERN USA PLAINS,8,EASTERN TEMPERATE FORESTS
32,Texas Blackland Prairies,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,9,GREAT PLAINS
81,Sonoran Basin and Range,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS
57,Huron/Erie Lake Plains,8.2,CENTRAL USA PLAINS,8,EASTERN TEMPERATE FORESTS
50,Northern Lakes and Forests,5.2,MIXED WOOD SHIELD,5,NORTHERN FORESTS
